sampling_seed,model_seed,arm,gen,accuracy,macro_f1,worst_class_recall,ece_scaled,temperature,train_size,pcf1_tree_cover,pcrec_tree_cover,pcf1_shrubland,pcrec_shrubland,pcf1_grassland,pcrec_grassland,pcf1_cropland,pcrec_cropland,pcf1_built_up,pcrec_built_up,pcf1_bare_sparse_vegetation,pcrec_bare_sparse_vegetation,pcf1_permanent_water,pcrec_permanent_water,pcf1_snow_and_ice,pcrec_snow_and_ice,pcf1_herbaceous_wetland,pcrec_herbaceous_wetland,pcf1_moss_lichen,pcrec_moss_lichen,worst_class_name
42,42,D,4,0.64411,0.6249172647842973,0.1783,0.029683269859701406,1.840789251731848,50000,0.6508382595212714,0.6716,0.3607017543859649,0.3341,0.24511960406928787,0.1783,0.6805364195829889,0.7409,0.765878616796048,0.8682,0.462133010324739,0.4006,0.8071013997951519,0.8274,0.8623630949376672,0.8543,0.6307203096916909,0.6843,0.783780178738162,0.8814,grassland
42,42,A,5,0.6621,0.6511966903096793,0.2607,0.015588530697226538,1.062425781777575,10000,0.6582329317269077,0.6556,0.39352718078381793,0.3891,0.3197203826342899,0.2607,0.6903821998923381,0.7695,0.7794024157660522,0.8582,0.4884022800383769,0.4327,0.8223836915935009,0.8149,0.8843687374749499,0.8826,0.6559211784962694,0.6857,0.8196259046902904,0.872,grassland
42,42,B,5,0.71024,0.6990803803255426,0.2939,0.010674988210797308,0.8739784510642721,60000,0.6841002096017567,0.6854,0.4404981998637735,0.4527,0.37012782570367103,0.2939,0.7328871039714413,0.8212,0.8080826468848131,0.8878,0.5298637792525324,0.4551,0.8518462848840123,0.8501,0.9446388957357653,0.9581,0.7308389806242245,0.7657,0.8979198767334361,0.9324,grassland
42,42,C,5,0.60138,0.5834354463256725,0.1707,0.01185289367601277,3.936292110871995,10000,0.6269644334160464,0.6443,0.3261460007760102,0.2942,0.2297442799461642,0.1707,0.6324864716133174,0.6896,0.7447256438969765,0.8313,0.4325810516668576,0.3776,0.7897116740409393,0.8121,0.7709672521131751,0.7616,0.5738327159646956,0.6274,0.7071949398225423,0.805,grassland
42,42,D,5,0.64456,0.6248340499036746,0.1666,0.0343613067136705,1.9502110615832966,60000,0.6509640134039143,0.6702,0.36484672786814837,0.3398,0.2345983242976836,0.1666,0.6794925028835064,0.7364,0.7675832892649392,0.8709,0.46378775049393167,0.4108,0.8077972709551657,0.8288,0.8587907716785999,0.8636,0.6316464392031143,0.6896,0.788833408987744,0.8689,grassland
42,42,A,6,0.66905,0.6587466507817245,0.28,0.01322709055066108,1.1106171185163698,10000,0.6504159411878506,0.6724,0.3938972217926911,0.3821,0.3437269825681316,0.28,0.6932708764976129,0.7696,0.7812876331635016,0.8434,0.4987556561085973,0.4409,0.8206341217916457,0.8153,0.9027749645533725,0.8914,0.6654316413486476,0.7184,0.8372714688051935,0.877,grassland
42,42,B,6,0.72606,0.7139527637098715,0.3171,0.010790406796485174,0.8831537669571269,70000,0.6917314757383463,0.7249,0.43538281830731657,0.41,0.39964711071901193,0.3171,0.7527510795375401,0.8106,0.8130281850988991,0.8899,0.5571568948575172,0.5103,0.8596218466322283,0.857,0.9551206010280744,0.9662,0.7612788963460104,0.8167,0.9138087288337706,0.9579,grassland
42,42,C,6,0.59748,0.5788907248896138,0.1623,0.011641378668248645,4.058640351988418,10000,0.624542571358868,0.64,0.323910874625873,0.2922,0.22300082440230834,0.1623,0.6292931128475378,0.6926,0.7407440409890844,0.8313,0.4328255640820066,0.3779,0.7892223738062756,0.8099,0.7590745709512479,0.7497,0.5690840744476025,0.6207,0.6972092413853344,0.7982,grassland
42,42,D,6,0.64551,0.626906650528378,0.1786,0.03654505094319582,2.0271321163811993,70000,0.6496938135879261,0.6737,0.3689515065168065,0.3496,0.24753984753984754,0.1786,0.68107044101795,0.7266,0.7682964397306694,0.8729,0.46215920225949625,0.4009,0.807041431628088,0.8298,0.8619440531294023,0.8566,0.631310137261161,0.6922,0.7910596326124333,0.8742,grassland
42,42,A,7,0.64732,0.6343246706356036,0.2247,0.01420718245118858,1.0182329970631583,10000,0.6463653238348467,0.6442,0.3880718125570545,0.3826,0.2906856403622251,0.2247,0.6708728570185363,0.7709,0.7747591434181088,0.8484,0.4690781796966161,0.402,0.8070105754431259,0.8127,0.8627668702367133,0.8547,0.6394607066913993,0.7067,0.7941755970974098,0.8263,grassland
