sampling_seed,arm,gen,class,recall,precision,f1
42,B,0,herbaceous_wetland,0.6927,0.5940313866735272,0.6395826600803288
42,B,0,moss_lichen,0.8773,0.728231094878393,0.795845239715154
42,B,1,tree_cover,0.696,0.6435506241331485,0.6687484986788375
42,B,1,shrubland,0.3763,0.41438167602686926,0.39442377233897596
42,B,1,grassland,0.2625,0.41345093715545755,0.3211205578322834
42,B,1,cropland,0.758,0.6740773677189862,0.7135796658037185
42,B,1,built_up,0.8657,0.7363272943778175,0.7957898607344762
42,B,1,bare_sparse_vegetation,0.4484,0.5821864450792003,0.5066094226641059
42,B,1,permanent_water,0.8383,0.8295072234316248,0.8338804337013827
42,B,1,snow_and_ice,0.9335,0.9085158150851581,0.9208384710234279
42,B,1,herbaceous_wetland,0.7313,0.6423928320449754,0.6839693228582118
42,B,1,moss_lichen,0.9134,0.8093212830054936,0.8582166682326411
42,B,2,tree_cover,0.6816,0.6474164133738601,0.6640685892439594
42,B,2,shrubland,0.3526,0.4058938643950731,0.37737464547546423
42,B,2,grassland,0.2385,0.4013800067317402,0.29920963492660896
42,B,2,cropland,0.7537,0.6502458804244673,0.698161270899912
42,B,2,built_up,0.8689,0.7159100271895855,0.7850205538239147
42,B,2,bare_sparse_vegetation,0.4362,0.5521518987341772,0.4873743016759776
42,B,2,permanent_water,0.8186,0.8158261909507674,0.8172107417390436
42,B,2,snow_and_ice,0.8977,0.8698643410852713,0.8835629921259844
42,B,2,herbaceous_wetland,0.7203,0.6018046620436127,0.6557421821657791
42,B,2,moss_lichen,0.8609,0.7903966213734851,0.8241432127130002
42,B,3,tree_cover,0.7032,0.6582420668351586,0.6799787264903545
42,B,3,shrubland,0.3957,0.4337389016770799,0.41384719970715894
42,B,3,grassland,0.31,0.47854276011114544,0.3762592547639277
42,B,3,cropland,0.788,0.6931738212526389,0.7375514788468738
42,B,3,built_up,0.8858,0.7476367319378798,0.8108751373123398
42,B,3,bare_sparse_vegetation,0.4733,0.6089809572825527,0.5326356065721359
42,B,3,permanent_water,0.8511,0.8507596961215513,0.8509298140371925
42,B,3,snow_and_ice,0.9623,0.9220965887313147,0.941769426502251
42,B,3,herbaceous_wetland,0.781,0.6798990162792722,0.7269511797831247
42,B,3,moss_lichen,0.9279,0.8590871215628183,0.8921686457381856
42,B,4,tree_cover,0.7231,0.6537974683544304,0.68670465337132
42,B,4,shrubland,0.412,0.4525980446006811,0.4313458619065068
42,B,4,grassland,0.3121,0.5076447625243982,0.38654941788456776
42,B,4,cropland,0.8129,0.6930684627845511,0.748216668967739
42,B,4,built_up,0.8895,0.7517748478701826,0.8148589226823012
42,B,4,bare_sparse_vegetation,0.4726,0.6296296296296297,0.5399291671426939
42,B,4,permanent_water,0.8637,0.8417308254556086,0.8525739104683876
42,B,4,snow_and_ice,0.9645,0.943184040680618,0.9537229308810441
42,B,4,herbaceous_wetland,0.791,0.7067548248749107,0.7465081162702908
42,B,4,moss_lichen,0.9483,0.8665813762222425,0.9056009167741013
42,B,5,tree_cover,0.6854,0.6828053397091054,0.6841002096017567
42,B,5,shrubland,0.4527,0.42893689596361567,0.44049819986377353
42,B,5,grassland,0.2939,0.4997449413365074,0.37012782570367103
42,B,5,cropland,0.8212,0.6617244157937148,0.7328871039714414
42,B,5,built_up,0.8878,0.7415017121857512,0.8080826468848132
42,B,5,bare_sparse_vegetation,0.4551,0.634020618556701,0.5298637792525323
42,B,5,permanent_water,0.8501,0.853599759011949,0.8518462848840122
42,B,5,snow_and_ice,0.9581,0.9315508021390374,0.9446388957357652
42,B,5,herbaceous_wetland,0.7657,0.6990140587913091,0.7308389806242246
42,B,5,moss_lichen,0.9324,0.8658989598811293,0.8979198767334361
42,B,6,tree_cover,0.7249,0.6614654621772059,0.6917314757383463
42,B,6,shrubland,0.41,0.46411591577994116,0.43538281830731657
42,B,6,grassland,0.3171,0.5402964729936957,0.39964711071901193
42,B,6,cropland,0.8106,0.7026089971396376,0.7527510795375401
42,B,6,built_up,0.8899,0.7483811285846439,0.8130281850988991
42,B,6,bare_sparse_vegetation,0.5103,0.613488819427747,0.5571568948575172
42,B,6,permanent_water,0.857,0.8622597846865881,0.8596218466322282
42,B,6,snow_and_ice,0.9662,0.9442924159499609,0.9551206010280744
42,B,6,herbaceous_wetland,0.8167,0.7129015363128491,0.7612788963460104
42,B,6,moss_lichen,0.9579,0.8735978112175102,0.9138087288337705
42,B,7,tree_cover,0.7143,0.6731693525586655,0.6931250303236135
42,B,7,shrubland,0.4169,0.4774939869430764,0.4451444130051786
42,B,7,grassland,0.346,0.5236077481840193,0.41666666666666663
42,B,7,cropland,0.8412,0.6792635658914729,0.7516082916368836
42,B,7,built_up,0.8851,0.7654587909712013,0.8209432824746093
42,B,7,bare_sparse_vegetation,0.5051,0.6454952076677316,0.5667321178120617
42,B,7,permanent_water,0.8616,0.8703030303030304,0.8659296482412062
42,B,7,snow_and_ice,0.9705,0.9579508439443293,0.9641845909294123
42,B,7,herbaceous_wetland,0.8365,0.7153240978279459,0.7711809716972434
42,B,7,moss_lichen,0.949,0.8992703496636028,0.9234661606578114
42,B,8,tree_cover,0.7109,0.6798967100229534,0.6950527962456003
42,B,8,shrubland,0.4768,0.4557445995029631,0.46603460072329195
42,B,8,grassland,0.3137,0.5768664950349394,0.40639979271926413
42,B,8,cropland,0.8294,0.6913395015420521,0.7541028322043916
42,B,8,built_up,0.8992,0.7418529824271924,0.8129831381944759
42,B,8,bare_sparse_vegetation,0.4873,0.6531296072912478,0.5581581810892847
42,B,8,permanent_water,0.8616,0.8597944316934437,0.8606962689176365
42,B,8,snow_and_ice,0.9693,0.9562000591891092,0.962705467547301
42,B,8,herbaceous_wetland,0.8359,0.7189300765459706,0.7730152124658991
