scale,sampling_seed,arm,gen,train_size,overall_accuracy,macro_f1,ece,temperature,worst_recall
S2,42,B,0,3000,0.5637333333333333,0.5521526797477563,0.0137483366509278,1.0459689143691937,0.1866666666666666
S2,42,C,0,3000,0.5637333333333333,0.5521526797477563,0.0137483366509278,1.0459689143691937,0.1866666666666666
S2,42,D,0,3000,0.5637333333333333,0.5521526797477563,0.0137483366509278,1.0459689143691937,0.1866666666666666
S2,42,A,1,3000,0.5668,0.5523127261428101,0.013823151906828,1.057052370581592,0.1803333333333333
S2,42,B,1,6000,0.5889333333333333,0.5739597547456669,0.0163145374228557,0.996883480832137,0.17
S2,42,C,1,3000,0.5513666666666667,0.5365375418422863,0.0222149800270795,2.964522030138784,0.1766666666666666
S2,42,D,1,6000,0.5655333333333333,0.552571585281828,0.0277384512672821,1.5265538586442136,0.1953333333333333
S2,42,A,2,3000,0.5625,0.5424266608663809,0.021789500243465,1.0766928049243136,0.1096666666666666
S2,42,B,2,9000,0.6328666666666667,0.6187687977051978,0.0099002587810158,1.0329950148268472,0.2146666666666666
S2,42,C,2,3000,0.5451,0.5261640401432885,0.0163045526191592,2.750495177433188,0.168
S2,42,D,2,9000,0.5581333333333334,0.5424113368573054,0.0314414871975779,1.6803465948800822,0.175
S2,42,A,3,2993,0.58,0.5650112745326028,0.0162408918261528,1.1469287649445163,0.1416666666666666
S2,42,B,3,11993,0.6580666666666667,0.6446669762052109,0.0098247798641522,1.1143658322334364,0.229
S2,42,C,3,2993,0.5413333333333333,0.5201135965608363,0.0254610191027323,3.495638474946568,0.143
S2,42,D,3,11993,0.5638333333333333,0.5490351595122085,0.0370411979267994,1.9911481149502952,0.18
S2,42,A,4,3007,0.5731333333333334,0.5594269719506977,0.0193286929354071,1.0639586830898948,0.1783333333333333
S2,42,B,4,15000,0.6339333333333333,0.6167695891370526,0.0147497443477312,0.9674259727976348,0.162
S2,42,C,4,3007,0.539,0.5155762443607548,0.0222770398090283,3.8614067187236456,0.1136666666666666
S2,42,D,4,15000,0.5626333333333333,0.5475502578213078,0.0409520310873786,2.1742400431378126,0.1733333333333333
S2,42,A,5,3000,0.5774,0.5692108977600305,0.0145329726273814,1.1042658600873565,0.205
S2,42,B,5,18000,0.6715333333333333,0.6584134414039811,0.0133054651533563,1.0687171715021748,0.2493333333333333
S2,42,C,5,3000,0.5371,0.5127953817462655,0.0218152138556043,4.174172499934353,0.1136666666666666
S2,42,D,5,18000,0.5635333333333333,0.5485769117076732,0.0420165880983074,2.2943184881895107,0.1813333333333333
S2,42,A,6,3000,0.5845,0.5742585683273185,0.0099948436776796,1.1757534221915271,0.2263333333333333
S2,42,B,6,21000,0.6750333333333334,0.6612212884242586,0.0182093597233295,1.0145770340103446,0.2443333333333333
S2,42,C,6,3000,0.5354333333333333,0.5103692551795989,0.0245328449279069,4.008761901369008,0.1043333333333333
S2,42,D,6,21000,0.5620666666666667,0.5469203408755632,0.0424305152644713,2.368624075861997,0.173
S2,42,A,7,3000,0.5531,0.5381684504056646,0.0138628924200932,0.991498576119884,0.2066666666666666
S2,42,B,7,24000,0.6718,0.6562755009657051,0.0135177850534518,0.9840582231209378,0.2166666666666666
S2,42,C,7,3000,0.5304666666666666,0.5024090936051843,0.026923972680668,3.5495201342992027,0.0976666666666666
S2,42,D,7,24000,0.5615666666666667,0.5465507208569715,0.040297811020414,2.447592333734031,0.173
S2,42,A,8,3000,0.5773666666666667,0.5668316875591205,0.0093988481303056,1.0792709829715927,0.2043333333333333
S2,42,B,8,27000,0.6800666666666667,0.6662028931590176,0.010711770902574,0.9670350539966324,0.244
S2,42,C,8,3000,0.5259666666666667,0.4964472225415081,0.0306889854013919,3.832209776620861,0.083
S2,42,D,8,27000,0.5603,0.5454520636090701,0.0406372460111975,2.5525458238511005,0.1723333333333333
S2,42,A,9,3000,0.5569333333333333,0.5444252009530466,0.015851411059002,1.036896382946449,0.1746666666666666
S2,42,B,9,30000,0.6862,0.6719698974348935,0.0117811447401841,0.9678770338879228,0.2556666666666666
S2,42,C,9,3000,0.5249,0.4928954294937685,0.0297661589245001,3.918021349567424,0.0646666666666666
S2,42,D,9,30000,0.56,0.5445874557461442,0.0391764571696519,2.576625593447605,0.1706666666666666
S2,123,A,0,3000,0.5595333333333333,0.5461155570836664,0.0155583313380678,0.9682597108542952,0.2093333333333333
S2,123,B,0,3000,0.5595333333333333,0.5461155570836664,0.0155583313380678,0.9682597108542952,0.2093333333333333
S2,123,C,0,3000,0.5595333333333333,0.5461155570836664,0.0155583313380678,0.9682597108542952,0.2093333333333333
S2,123,D,0,3000,0.5595333333333333,0.5461155570836664,0.0155583313380678,0.9682597108542952,0.2093333333333333
S2,123,A,1,3000,0.5865,0.5742550082837794,0.0106915039489666,1.1416026606343042,0.234
S2,123,B,1,6000,0.5798666666666666,0.5639308592312523,0.0163729132389028,0.9581567807193272,0.1996666666666666
S2,123,C,1,3000,0.5458666666666666,0.5301712127128959,0.0254108284026384,2.7698377880870115,0.188
S2,123,D,1,6000,0.5565666666666667,0.5409581418673667,0.026329978175958,1.416561939320797,0.1896666666666666
S2,123,A,2,3000,0.5760666666666666,0.5631779730390611,0.0146077055200934,1.1365474697466085,0.1866666666666666
S2,123,B,2,9000,0.6212333333333333,0.6052634251168041,0.0123418868154287,1.0053099190799168,0.209
S2,123,C,2,3000,0.5378333333333334,0.520050603150594,0.0329134549016753,3.4403076237202,0.1643333333333333
S2,123,D,2,9000,0.5605666666666667,0.5455173941733547,0.0362706573039293,1.7697346055727132,0.1946666666666666
S2,123,A,3,2992,0.5686333333333333,0.5536830701928305,0.0289876200656096,1.0718189463070766,0.1683333333333333
S2,123,B,3,11992,0.6292,0.6134631336148451,0.0141201137726505,0.9729272750408188,0.2206666666666666
S2,123,C,3,2992,0.5304,0.5094018622310157,0.0303645990565419,3.085738380291412,0.14
S2,123,D,3,11992,0.5566333333333333,0.5409437880606754,0.0360227388655145,1.8929817683011336,0.188
S2,123,A,4,3008,0.5707333333333333,0.5519220772097856,0.0190667460143566,1.0814619044416536,0.1273333333333333
S2,123,B,4,15000,0.6400333333333333,0.6240976087936019,0.0158938376983006,0.9946586873015985,0.2133333333333333
S2,123,C,4,3008,0.5246333333333333,0.5021115301645576,0.0329268565237522,3.214108864520186,0.136
S2,123,D,4,15000,0.5571,0.5406912925213521,0.0380339889665444,2.0579638949829437,0.1863333333333333
S2,123,A,5,3000,0.5573666666666667,0.5454644884904604,0.0196716656833887,1.0200328935391705,0.168
S2,123,B,5,18000,0.6600666666666667,0.6452880015344843,0.0153906424894928,1.0097523367176438,0.237
