sampling_seed,arm,true_class,pred_class,rate_gen0,rate_gen9,delta,category
123,A,moss_lichen,grassland,0.005100000184029341,0.024000000208616257,0.01889999955892563,none
123,A,moss_lichen,cropland,0.0,0.0,0.0,none
123,A,moss_lichen,built_up,0.0,0.0,0.0,none
123,A,moss_lichen,bare_sparse_vegetation,0.006000000052154064,0.004699999932199717,-0.0013000001199543476,none
123,A,moss_lichen,permanent_water,0.00860000029206276,0.00839999970048666,-0.0002000005915760994,none
123,A,moss_lichen,snow_and_ice,0.020099999383091927,0.03889999911189079,0.018799999728798866,none
123,A,moss_lichen,herbaceous_wetland,0.046799998730421066,0.060600001364946365,0.013800002634525299,none
123,B,tree_cover,shrubland,0.16590000689029694,0.15119999647140503,-0.014700010418891907,persistence
123,B,tree_cover,grassland,0.032999999821186066,0.029899999499320984,-0.003100000321865082,none
123,B,tree_cover,cropland,0.025699999183416367,0.029200000688433647,0.0035000015050172806,none
123,B,tree_cover,built_up,0.043800000101327896,0.043800000101327896,0.0,none
123,B,tree_cover,bare_sparse_vegetation,0.02290000021457672,0.022299999371170998,-0.0006000008434057236,none
123,B,tree_cover,permanent_water,0.007699999958276749,0.005200000014156103,-0.0024999999441206455,none
123,B,tree_cover,snow_and_ice,0.004100000020116568,0.002199999988079071,-0.0019000000320374966,none
123,B,tree_cover,herbaceous_wetland,0.012900000438094139,0.016899999231100082,0.003999998793005943,none
123,B,tree_cover,moss_lichen,0.016599999740719795,0.008799999952316284,-0.007799999788403511,none
123,B,shrubland,tree_cover,0.18060000240802765,0.15860000252723694,-0.02199999988079071,attenuation
123,B,shrubland,grassland,0.11680000275373459,0.12200000137090683,0.005199998617172241,persistence
123,B,shrubland,cropland,0.07559999823570251,0.07970000058412552,0.004100002348423004,persistence
123,B,shrubland,built_up,0.03700000047683716,0.03500000014901161,-0.0020000003278255463,none
123,B,shrubland,bare_sparse_vegetation,0.08839999884366989,0.08510000258684158,-0.003299996256828308,persistence
123,B,shrubland,permanent_water,0.008200000040233135,0.00800000037997961,-0.00019999966025352478,none
123,B,shrubland,snow_and_ice,0.010599999688565731,0.0044999998062849045,-0.006099999882280827,none
123,B,shrubland,herbaceous_wetland,0.05999999865889549,0.06840000301599503,0.008400004357099533,persistence
123,B,shrubland,moss_lichen,0.05139999836683273,0.01810000091791153,-0.033299997448921204,attenuation
123,B,grassland,tree_cover,0.08070000261068344,0.07209999859333038,-0.008600004017353058,persistence
123,B,grassland,shrubland,0.18799999356269836,0.16339999437332153,-0.02459999918937683,attenuation
123,B,grassland,cropland,0.11879999935626984,0.11959999799728394,0.0007999986410140991,persistence
123,B,grassland,built_up,0.0471000000834465,0.04340000078082085,-0.003699999302625656,none
123,B,grassland,bare_sparse_vegetation,0.11479999870061874,0.1103999987244606,-0.004399999976158142,persistence
123,B,grassland,permanent_water,0.015799999237060547,0.01590000092983246,0.00010000169277191162,none
123,B,grassland,snow_and_ice,0.01899999938905239,0.008799999952316284,-0.010199999436736107,none
123,B,grassland,herbaceous_wetland,0.09839999675750732,0.0925000011920929,-0.005899995565414429,persistence
