sampling_seed,arm,pool,class,support,drift_rate
256,C,5,cropland,1000,0.28400000000000003
256,C,5,built_up,1000,0.14700000000000002
256,C,5,bare_sparse_vegetation,1000,0.585
256,C,5,permanent_water,1000,0.20699999999999996
256,C,5,snow_and_ice,1000,0.17600000000000005
256,C,5,herbaceous_wetland,1000,0.363
256,C,5,moss_lichen,1000,0.16800000000000004
256,C,6,tree_cover,1000,0.344
256,C,6,shrubland,1000,0.642
256,C,6,grassland,1000,0.849
256,C,6,cropland,1000,0.29400000000000004
256,C,6,built_up,1000,0.14300000000000002
256,C,6,bare_sparse_vegetation,1000,0.5469999999999999
256,C,6,permanent_water,1000,0.17700000000000005
256,C,6,snow_and_ice,1000,0.18600000000000005
256,C,6,herbaceous_wetland,1000,0.351
256,C,6,moss_lichen,1000,0.17300000000000004
256,C,7,tree_cover,1000,0.32999999999999996
256,C,7,shrubland,1000,0.656
256,C,7,grassland,1000,0.864
256,C,7,cropland,1000,0.266
256,C,7,built_up,1000,0.14900000000000002
256,C,7,bare_sparse_vegetation,1000,0.529
256,C,7,permanent_water,1000,0.18200000000000005
256,C,7,snow_and_ice,1000,0.22799999999999998
256,C,7,herbaceous_wetland,1000,0.389
256,C,7,moss_lichen,1000,0.18899999999999995
256,C,8,tree_cover,1000,0.33599999999999997
256,C,8,shrubland,1000,0.655
256,C,8,grassland,1000,0.869
256,C,8,cropland,1000,0.31699999999999995
256,C,8,built_up,1000,0.14600000000000002
256,C,8,bare_sparse_vegetation,1000,0.546
256,C,8,permanent_water,1000,0.17200000000000004
256,C,8,snow_and_ice,1000,0.245
256,C,8,herbaceous_wetland,1000,0.371
256,C,8,moss_lichen,1000,0.18700000000000006
256,C,9,tree_cover,1000,0.371
256,C,9,shrubland,1000,0.637
256,C,9,grassland,1000,0.871
256,C,9,cropland,1000,0.29200000000000004
256,C,9,built_up,1000,0.14100000000000001
256,C,9,bare_sparse_vegetation,1000,0.5549999999999999
256,C,9,permanent_water,1000,0.20399999999999996
256,C,9,snow_and_ice,1000,0.252
256,C,9,herbaceous_wetland,1000,0.369
256,C,9,moss_lichen,1000,0.18899999999999995
256,C,10,tree_cover,1000,0.379
256,C,10,shrubland,1000,0.652
256,C,10,grassland,1000,0.875
256,C,10,cropland,1000,0.32799999999999996
256,C,10,built_up,1000,0.16700000000000004
256,C,10,bare_sparse_vegetation,1000,0.651
256,C,10,permanent_water,1000,0.20499999999999996
256,C,10,snow_and_ice,1000,0.278
256,C,10,herbaceous_wetland,1000,0.384
256,C,10,moss_lichen,1000,0.20299999999999996
256,D,2,tree_cover,1000,0.372
256,D,2,shrubland,1000,0.647
256,D,2,grassland,1000,0.783
256,D,2,cropland,1000,0.235
256,D,2,built_up,1000,0.14800000000000002
256,D,2,bare_sparse_vegetation,1000,0.613
256,D,2,permanent_water,1000,0.19799999999999995
256,D,2,snow_and_ice,1000,0.127
256,D,2,herbaceous_wetland,1000,0.29600000000000004
256,D,2,moss_lichen,1000,0.13
256,D,3,tree_cover,1000,0.34099999999999997
256,D,3,shrubland,1000,0.625
256,D,3,grassland,1000,0.837
256,D,3,cropland,1000,0.254
256,D,3,built_up,1000,0.15800000000000003
256,D,3,bare_sparse_vegetation,1000,0.622
256,D,3,permanent_water,1000,0.17100000000000004
256,D,3,snow_and_ice,1000,0.14500000000000002
256,D,3,herbaceous_wetland,1000,0.30000000000000004
256,D,3,moss_lichen,1000,0.126
256,D,4,tree_cover,1000,0.357
256,D,4,shrubland,1000,0.646
256,D,4,grassland,1000,0.834
256,D,4,cropland,1000,0.245
256,D,4,built_up,1000,0.127
256,D,4,bare_sparse_vegetation,1000,0.587
256,D,4,permanent_water,1000,0.18700000000000006
256,D,4,snow_and_ice,1000,0.14400000000000002
256,D,4,herbaceous_wetland,1000,0.29400000000000004
256,D,4,moss_lichen,1000,0.128
256,D,5,tree_cover,1000,0.33399999999999996
256,D,5,shrubland,1000,0.616
256,D,5,grassland,1000,0.831
256,D,5,cropland,1000,0.264
256,D,5,built_up,1000,0.123
256,D,5,bare_sparse_vegetation,1000,0.583
256,D,5,permanent_water,1000,0.17700000000000005
256,D,5,snow_and_ice,1000,0.15100000000000002
256,D,5,herbaceous_wetland,1000,0.29300000000000004
256,D,5,moss_lichen,1000,0.132
256,D,6,tree_cover,1000,0.34099999999999997
256,D,6,shrubland,1000,0.599
256,D,6,grassland,1000,0.8180000000000001
256,D,6,cropland,1000,0.263
256,D,6,built_up,1000,0.11699999999999999
256,D,6,bare_sparse_vegetation,1000,0.527
256,D,6,permanent_water,1000,0.16300000000000003
256,D,6,snow_and_ice,1000,0.135
256,D,6,herbaceous_wetland,1000,0.28800000000000003
256,D,6,moss_lichen,1000,0.129
256,D,7,tree_cover,1000,0.32499999999999996
256,D,7,shrubland,1000,0.609
256,D,7,grassland,1000,0.823
256,D,7,cropland,1000,0.242
256,D,7,built_up,1000,0.135
256,D,7,bare_sparse_vegetation,1000,0.523
256,D,7,permanent_water,1000,0.17000000000000004
256,D,7,snow_and_ice,1000,0.15000000000000002
256,D,7,herbaceous_wetland,1000,0.30800000000000005
256,D,7,moss_lichen,1000,0.13
256,D,8,tree_cover,1000,0.33999999999999997
256,D,8,shrubland,1000,0.618
256,D,8,grassland,1000,0.8280000000000001
256,D,8,cropland,1000,0.266
256,D,8,built_up,1000,0.139
256,D,8,bare_sparse_vegetation,1000,0.513
256,D,8,permanent_water,1000,0.15400000000000003
256,D,8,snow_and_ice,1000,0.14
256,D,8,herbaceous_wetland,1000,0.30200000000000005
256,D,8,moss_lichen,1000,0.136
256,D,9,tree_cover,1000,0.363
256,D,9,shrubland,1000,0.603
256,D,9,grassland,1000,0.838
256,D,9,cropland,1000,0.262
256,D,9,built_up,1000,0.11299999999999999
256,D,9,bare_sparse_vegetation,1000,0.517
256,D,9,permanent_water,1000,0.17700000000000005
256,D,9,snow_and_ice,1000,0.138
256,D,9,herbaceous_wetland,1000,0.29600000000000004
256,D,9,moss_lichen,1000,0.138
256,D,10,tree_cover,1000,0.363
256,D,10,shrubland,1000,0.623
256,D,10,grassland,1000,0.834
256,D,10,cropland,1000,0.247
256,D,10,built_up,1000,0.127
256,D,10,bare_sparse_vegetation,1000,0.626
256,D,10,permanent_water,1000,0.18600000000000005
256,D,10,snow_and_ice,1000,0.14100000000000001
256,D,10,herbaceous_wetland,1000,0.29000000000000004
256,D,10,moss_lichen,1000,0.14300000000000002
